year,latitude,longitude,depth,intensity
89,22.15,121.48,76.9,5
89,24.36,120.97,3,4.8
89,23.92,121.34,8.4,4.4
89,23.08,120.84,6.9,4.5
89,24.47,121.95,25.7,5.2
89,24.73,121.7,84.4,5.1
89,23.34,120.95,5.7,4.4
89,24.23,121.4,13,4.1
89,24.23,121.39,16.4,4.1
89,23.64,121.49,20.2,4.3
89,24.07,121.62,10.2,4
89,24.07,121.6,11.2,3.8
89,24.07,121.61,12.8,4
89,24.15,121.56,20,3.9
89,23.36,120.01,4.9,5
89,24.25,121.41,9.5,3.9
89,24.24,121.41,7.9,4.2
89,23.16,120.98,3,4.4
89,23.07,120.84,11,4.5
89,23.98,121.61,10.5,4.7
89,23.97,121.58,11.9,4
89,23.97,121.57,11.8,3.9
89,23.98,121.59,11.7,4
89,24,121.59,12.1,4.3
89,24,121.56,11.4,3.6
89,24.01,121.57,13.9,4
89,24.12,121.53,23.4,4.8
89,24.05,121.58,11.9,3.9
89,24.05,121.57,10.9,4.1
89,24.08,121.48,18.5,4.2
89,24.04,121.58,11.9,3.6
89,23.64,120.86,7.2,4.8
89,23.64,120.88,7,4.7
89,23.98,121.57,14.5,4.1
89,23.94,120.62,21.4,4.3
89,24.03,121.58,10.5,4.3
89,24.04,121.57,11,3.9
89,24.04,121.55,12.5,3.7
89,22.75,120.77,10.2,4.5
89,23.93,121.47,19,5.1
89,24.22,121.4,15,4.3
89,24.22,121.39,11.6,3.8
89,24.25,121.33,18.7,4.7
89,23.88,121.12,11.8,4.6
89,24.96,121.12,16.5,4.4
89,24.96,121.09,15.9,4.4
89,24.23,121.06,5.9,4.6
89,23.43,120.49,11.9,4.1
89,24.31,121.31,5,4
89,24.26,120.87,32.1,4.5
89,24.08,120.96,6.9,4.5
89,23.49,120.46,12.1,4
89,24.21,121.64,18.1,3.9
89,23.33,120.56,15.7,4.1
89,23.75,121.02,23.3,4.4
89,24.8,121.92,7.6,4.8
89,23.93,121,8.1,4.6
89,23.56,120.43,8.5,3.9
89,24.15,121.52,17.6,3.9
89,23.98,121.47,10.3,3.6
89,23.89,121.71,19.2,5.3
89,23.93,121.72,23.6,4.9
89,23.48,120.83,19.1,4.6
89,23.08,120.19,19.5,5.2
89,23.08,120.19,16.5,5.3
89,23.05,120.16,19.2,4.6
89,23.06,120.16,19.2,4.8
89,23.87,122.69,33,5.6
89,23.28,120.37,13.6,4
89,23.34,121.44,11.6,4.1
89,24.11,121.54,18.8,4.6
89,24.07,121.12,3,4.7
89,23.48,122.01,23.6,5.3
89,24.38,121.83,10.3,5.4
